,users,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
953,953,,,,,,,-2.312,-7.406000000000001,,,,,-4.5,,-7.218999999999999,-9.406,-7.468999999999999,-1.625,0.031,,,,,,,,,-9.469,5.438,,,7.125,,,-3.438,-8.437999999999999,,,,,,,,,,,0.625,,2.125,1.8119999999999998,,,-2.719,0.75,,,,,,,,-0.5,,,-9.281,-0.406,,,,,,-6.75,,,,2.969,,1.625,,,,,3.719,,,,-5.25,,,,,,-9.469,,-5.625,,,,8.719,
956,956,,,,,,,-2.156,1.781,,,,,-5.562,,-4.438,-3.344,2.719,1.531,5.593999999999999,,2.094,0.875,3.188,7.875,-8.844,2.062,,2.438,2.344,-2.281,,4.718999999999999,8.844,2.156,1.406,0.9690000000000001,1.5,5.656000000000001,1.625,5.562,1.906,-2.5,,-3.188,-1.406,2.156,4.125,1.094,0.938,2.938,,,2.344,9.469,1.4380000000000002,2.969,-0.188,-0.7809999999999999,2.188,8.969,,0.75,2.062,1.5,5.125,0.25,1.375,2.0,2.25,0.8440000000000001,-1.875,2.688,,0.9690000000000001,-1.125,2.75,2.25,5.5,3.969,,1.594,1.969,1.0,1.469,5.625,7.218999999999999,0.594,1.281,2.875,3.438,1.625,9.687999999999999,4.781000000000001,5.688,7.312,1.5,9.594,0.406,8.375,
957,957,,,,,,,1.906,1.5619999999999998,,,,,0.125,,-3.875,-1.906,0.6559999999999999,-5.688,1.375,,5.0,-1.625,0.0,1.375,5.375,2.406,,-0.25,-1.781,-2.5,,1.5619999999999998,-2.688,-1.406,2.531,-2.906,3.906,5.343999999999999,-0.938,0.562,-1.906,-1.031,,-6.281000000000001,1.9380000000000002,-3.0,-2.875,2.406,-3.406,3.469,,,1.219,2.5,-0.7809999999999999,4.938,-1.406,-5.0,-3.562,-0.125,,3.281,0.812,-3.344,2.0,4.843999999999999,5.0,3.5,2.875,-1.469,-5.593999999999999,4.968999999999999,,-1.5619999999999998,-4.312,0.75,1.5619999999999998,0.594,2.688,,6.562,-0.9059999999999999,2.594,2.0,-1.188,1.156,0.094,-0.875,-0.75,0.469,5.062,0.188,4.25,0.43799999999999994,-2.375,-2.281,9.625,-1.375,-0.25,
958,958,,,,,,,1.9380000000000002,0.75,,,,,-2.625,,-7.75,-7.656000000000001,0.25,-4.031000000000001,5.188,,2.844,-1.5619999999999998,-0.9059999999999999,-2.438,4.843999999999999,3.5,,2.781,-1.0,1.156,,2.625,-8.562000000000001,3.594,5.312,-0.469,-3.062,-8.969,1.469,1.75,3.531,-0.8440000000000001,,-4.093999999999999,-1.844,2.5,2.969,-1.781,4.843999999999999,3.938,,,2.875,-1.5,2.0,2.938,-5.688,-3.156,-1.531,-5.062,,4.031000000000001,2.5,-1.469,2.812,1.406,1.625,4.625,-0.031,-1.344,3.125,5.406000000000001,,-2.531,-2.312,3.375,-3.344,3.438,-3.875,,-4.093999999999999,2.312,2.406,5.656000000000001,-3.281,5.25,4.156000000000001,4.562,6.281000000000001,4.188,-1.8119999999999998,-0.5,1.094,6.312,-2.875,5.688,4.656000000000001,-9.969,-0.281,
960,960,,,,,,,-8.5,4.843999999999999,,,,,8.75,,-6.25,-8.437999999999999,-1.6880000000000002,-4.343999999999999,-1.9380000000000002,,,4.438,,,,,,,,,,7.218999999999999,,-2.25,9.0,,,,,,,,,,,,8.844,7.438,,,,,8.25,,-8.937999999999999,,,-5.875,,,,,8.219,,,,,,,,,,,,,,,,8.625,,7.938,,,,,,9.312000000000001,,9.906,,8.562000000000001,6.125,,,,4.625,2.781,,,
961,961,,,,,,,0.25,-1.781,,,,,-1.6880000000000002,,2.969,2.125,0.344,-1.5,3.281,,,,,,,,,,,,,6.843999999999999,,3.812,5.812,,,,,,,,,,,7.25,,,5.468999999999999,8.687999999999999,,,9.281,,,,,,,,,,,,,,,,8.281,,,,,,,3.0,,,,,,,,,,,,,6.188,,5.375,,,,,,,,,
963,963,,,,,,,-9.062000000000001,-9.187999999999999,,,,,-8.937999999999999,,-8.125,-8.187999999999999,-8.187999999999999,-8.781,-8.906,,,,,,,,,,,,,3.906,,,7.968999999999999,4.093999999999999,,,,,1.4380000000000002,,,,,,,,,-0.031,,,-8.156,,,,,,7.875,,,,,,,-7.406000000000001,,,-4.156000000000001,,,5.718999999999999,,,,1.3119999999999998,,,,,,,,,,,,-4.188,-8.219,,-6.843999999999999,,-1.625,,0.281,1.625,,,,
965,965,,,,,,,7.843999999999999,2.281,,,,,2.281,,2.406,-3.5,9.375,8.375,8.031,,9.5,,,,,,,,,,,,,,,,,,,,3.812,,,,,,,,,,,,,,,,,,,,,3.938,,,6.343999999999999,,,4.812,4.968999999999999,,,,,5.625,,,6.468999999999999,,,,,,,,,,,,-2.5,,,6.093999999999999,,,,,,,,
967,967,,,,,,,0.75,1.219,,,,,-3.312,,-2.531,-8.75,-2.281,-6.718999999999999,0.25,,,,,,,,,,,,,,,-4.062,,,,,,,,,,,,,,-2.812,,,,,,,5.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.094,,,
968,968,,,,,,,-7.218999999999999,1.75,,,,,-4.062,,6.75,1.969,2.625,-1.375,4.062,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,0.9059999999999999,,,,,-7.906000000000001,,4.125,,-5.406000000000001,,3.562,8.375,,,,,,7.968999999999999,,,,,,,,,-4.718999999999999,,,,,,,,
969,969,,,,,,,-9.031,-9.031,,,,,-9.031,,-7.062,8.5,8.5,-8.875,-8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.687999999999999,,,,,,,,,,,,-8.687999999999999,,,,,,,,,,,,,,,,,,
972,972,,,,,,,-9.187999999999999,-8.625,,,,,-8.625,,-8.344,-8.344,8.406,-8.937999999999999,-8.937999999999999,,,,,,,,,,,,,,,,,-8.875,,,,,,,,,,,,,,,,,,-8.312000000000001,,,,,,,,,,,-8.875,,,-8.875,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-8.312000000000001,,,,,,
973,973,,,,,,,-6.906000000000001,-5.656000000000001,,,,,-5.375,,-7.281000000000001,-7.812,0.938,1.781,-2.219,,,,,,,,,,,,,,,,-6.531000000000001,,,,,,,,,,,,,8.625,,2.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,
977,977,,,,,,,-4.906000000000001,5.406000000000001,,,,,-7.312,,-5.531000000000001,-2.594,-4.75,-4.562,-4.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.469,,,,4.093999999999999,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.062,,,,,,,,2.0,,,,,,
978,978,,,,,,,-3.125,-1.219,,,,,-1.656,,-1.5,-1.9380000000000002,0.0,-1.406,-1.656,,,,1.281,,,,,,-1.8119999999999998,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,,,-4.218999999999999,,,1.625,-2.156,,-4.375,0.344,,,,,,,,,,,,,,,,,,,,-2.656,,,,,,,,,,,
979,979,,,,,,,1.844,3.688,,,,,6.062,,6.188,-9.594,-9.312000000000001,4.656000000000001,-9.344,,,6.906000000000001,7.375,,,,,,,,,,-6.438,,,,,,,,,,,,,,,6.875,,,,,,,,,,,,,,,,,,,6.093999999999999,,,,,,,,,,,,,,7.843999999999999,,,,,9.062000000000001,,,,8.094,,,,5.281000000000001,,,9.844,,,
984,984,,,,,,,-8.094,8.812000000000001,,,,,-5.468999999999999,,-9.781,1.9380000000000002,2.219,2.312,9.969,,,3.594,,,,-7.25,,,,,,,,,,,,,,,,,,,,-9.75,,,,,,,,,,,,,,,,,,,,4.438,,,,,,,,,-9.781,6.031000000000001,,,,,,,,,,,,,,,9.937999999999999,,-7.562,,,1.156,,,,
985,985,,,,,,,-4.781000000000001,8.531,,,,,-1.5,,-9.062000000000001,-7.031000000000001,5.062,-9.875,10.0,,,,-5.281000000000001,,,,,,,,,,-9.031,,,,,,,,,,,,,,,-1.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.188,,,,,3.906,,,,0.688,,,,4.438,,,5.781000000000001,,,
988,988,,,,,,,-2.062,2.719,,,,,-6.312,,-8.5,-5.093999999999999,0.688,9.094,1.094,,-7.188,-5.125,,,,,,,-0.531,-1.25,,,-2.906,,4.281000000000001,,,,,,,-5.562,,,,,,,,-5.656000000000001,,,3.031,-1.4380000000000002,,-6.375,,,,,,2.562,,,7.125,-6.312,,,-2.906,1.344,,-3.906,,,5.406000000000001,1.406,,,,,-4.031000000000001,,-5.5,,,,2.281,,-5.625,,5.093999999999999,1.4380000000000002,-3.625,,,2.688,1.594,-6.438,,
989,989,,,,,,,-3.031,7.188,,,,,-9.437999999999999,,2.812,-0.5,9.937999999999999,-3.0,2.594,,9.625,,4.875,-9.031,,6.968999999999999,,,7.0,6.062,,7.562,,6.875,7.093999999999999,5.093999999999999,,,,,,,,,-4.0,-0.25,-6.062,-8.0,-2.531,9.969,,,1.219,,,-6.25,-8.562000000000001,,,,,3.281,5.25,2.625,,8.719,,,-5.781000000000001,,,9.25,,,,-3.406,,,,,,,,,,,,,3.75,,3.75,,-6.906000000000001,,-6.406000000000001,1.8119999999999998,,,,
995,995,,,,,,,-5.843999999999999,-5.218999999999999,,,,,-7.218999999999999,,0.75,-9.187999999999999,0.562,-9.812000000000001,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.562,,,,,,,,,,,,-8.562000000000001,,,,,,,,,,,,,,,,,,,
996,996,,,,,,,1.5619999999999998,4.688,,,,,-7.438,,-5.25,-9.437999999999999,9.219,-9.812000000000001,-6.0,,,,,,,,,,7.125,,,-0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.875,,,,,,,,,,,,
997,997,,,,,,,-7.0,-7.218999999999999,,,,,-6.562,,-6.718999999999999,-6.938,0.875,-6.625,-7.031000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.593999999999999,,,,,,,,,,,,,,5.125,,,,,,,,,,,,,,,,,,,,,,,,1.094,,-8.125,,,,,,
1000,1000,,,,,,,1.3119999999999998,3.656,,,,,6.968999999999999,,-1.8119999999999998,1.6880000000000002,-1.406,1.9380000000000002,6.468999999999999,,9.25,2.75,6.031000000000001,-1.625,9.937999999999999,2.562,,4.312,7.718999999999999,0.7190000000000001,,7.812,7.281000000000001,6.781000000000001,5.156000000000001,-1.469,4.781000000000001,-1.719,9.906,3.969,6.875,4.625,,-5.75,4.562,5.938,4.468999999999999,7.875,6.75,7.531000000000001,,,9.875,5.531000000000001,4.156000000000001,7.062,5.781000000000001,-7.968999999999999,4.843999999999999,6.718999999999999,,5.5,6.281000000000001,7.656000000000001,6.093999999999999,5.093999999999999,-0.469,5.718999999999999,4.312,5.781000000000001,1.062,5.093999999999999,,6.688,9.812000000000001,4.375,4.343999999999999,5.375,6.625,,5.968999999999999,3.219,5.0,4.718999999999999,3.875,9.687999999999999,6.812,3.531,6.281000000000001,-0.9690000000000001,1.75,5.938,5.312,6.625,8.844,5.843999999999999,5.343999999999999,7.062,3.906,
1001,1001,,,,,,,-5.343999999999999,-3.969,,,,,-7.062,,4.156000000000001,2.75,-3.469,-1.969,-8.844,,,,,,,,,-5.0,,,,,,,-4.125,,,,,,,,,,,,,-8.844,0.875,-7.281000000000001,,,1.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,
1002,1002,,,,,,,5.093999999999999,-2.938,,,,,1.531,,-6.093999999999999,-8.844,-4.468999999999999,-8.625,-0.25,,,,,,,,,,-3.75,,,5.688,,,0.062,-3.844,,,,,,,,-4.593999999999999,,,0.062,,,-3.406,,,-2.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.25,2.156,,,-2.844,,2.812,,,,5.0,,,
1003,1003,,,,,,,0.125,2.875,,,,,-0.688,,-6.875,-6.093999999999999,-4.406000000000001,-6.125,1.5619999999999998,,1.156,0.9059999999999999,1.125,-2.188,2.062,1.219,,-3.188,0.625,-3.406,,1.375,-7.343999999999999,-4.531000000000001,5.375,-1.125,4.125,-3.312,0.062,5.125,-1.125,8.219,,-2.438,-1.656,1.5619999999999998,3.875,-2.594,2.875,8.219,,,8.5,9.594,0.688,-2.969,-4.968999999999999,-9.062000000000001,-7.125,-0.469,,-3.406,0.6559999999999999,1.25,-2.312,0.6559999999999999,0.9690000000000001,4.312,1.8119999999999998,1.344,9.406,1.5619999999999998,,-2.562,1.219,9.594,0.9690000000000001,6.5,-1.75,,-3.031,-5.968999999999999,-1.5,-0.375,-2.156,9.562000000000001,3.344,0.125,5.156000000000001,5.125,1.844,0.25,1.062,0.9690000000000001,4.125,4.281000000000001,5.843999999999999,1.469,2.875,
1004,1004,,,,,,,-5.938,-3.031,,,,,-4.218999999999999,,-4.062,-6.688,-6.562,-5.843999999999999,-4.688,,,,,,,,,-4.812,,,,,,,,,,,,,,,,,,,,,3.344,,,,,,,,,,,,,,,,,,,,,,,,,,-9.344,,,,,,-8.906,,,,,,-4.875,,,,-9.187999999999999,,,,,,0.062,8.719,,
1005,1005,,,,,,,3.344,1.719,,,,,-5.218999999999999,,0.9690000000000001,0.5,2.969,-4.188,-9.125,,,,,,,,,,,,,,,,,,,,,,-1.0,,,-4.343999999999999,,,,,,,,,,,,,,,,,,-3.344,,,,,,,,,,,,,,,,2.656,,,,,,,2.188,,,,,,5.093999999999999,-3.938,,,,-3.656,-3.688,,,
1006,1006,,,,,,,-3.938,-4.843999999999999,,,,,-2.875,,-2.156,-5.125,-0.7809999999999999,-0.188,-5.281000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.438,,,,,7.156000000000001,,,,,,,-5.188,,,,,,,,,,-3.031,,,,,,,,,,,,,,,,2.031,,,3.219,-9.312000000000001,,,,2.188,,,0.094,
1007,1007,,,,,,,-6.625,-0.21899999999999997,,,,,3.594,,-8.562000000000001,7.625,-7.562,-8.094,-8.687999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.219,,,,,,,,,,,,,,,,,,,,,,,,,,-9.594,,,,,,,,,,,,,,,,4.781000000000001,,,,,,2.969,-9.75,,
1008,1008,,,,,,,5.843999999999999,5.062,,,,,9.125,,-6.875,-9.781,1.906,-9.531,0.7809999999999999,,,5.438,5.5,,,,,,,,,,7.375,,,,,,,,,,,,,,,3.906,,,,,,,,,,,,,,,,,,,-5.875,,,,,,,,,,,,,,2.281,,,,,7.875,,,,6.531000000000001,,,,5.062,,6.125,7.218999999999999,,,
1009,1009,,,,,,,-2.688,1.9380000000000002,,,,,1.9380000000000002,,-2.562,-5.312,2.219,-2.844,0.0,,,0.0,,-3.781,,,,,,,,,,2.375,,,,,,,-0.594,,,-3.781,-2.469,,,,,,,,,,,,,,,,,-1.5,,,,-3.062,,,,,,,,-2.531,,,1.75,-4.468999999999999,-3.625,,2.406,-0.594,,,-0.531,,,,,,2.5,-1.125,,,,-0.25,2.125,,,
1010,1010,,,,,,,-5.656000000000001,-8.062000000000001,,,,,-5.968999999999999,,-8.094,-5.062,-6.343999999999999,-6.718999999999999,3.781,,,,,1.3119999999999998,4.468999999999999,,,,,,,3.188,,,,0.562,,-7.188,,,,,,,,,-8.062000000000001,-2.594,,,,,,4.843999999999999,,,,,,,,,,,-8.687999999999999,,,-2.0,,,,7.718999999999999,,,,,,0.188,,,,,,,,,-8.594,,4.312,,-2.062,-1.219,,1.219,-4.562,-6.468999999999999,2.312,,,
1011,1011,,,,,,,-8.344,-0.531,,,,,-4.0,,-6.406000000000001,-9.406,-7.156000000000001,-8.531,-8.812000000000001,,-9.156,,,,,,,-7.218999999999999,,,,-2.75,,,,,,,,,,,,,,,,,-6.156000000000001,-1.969,,,-1.0,-5.968999999999999,,,,,,,,,-3.812,,,,,,2.219,,,,,,0.344,,-6.188,,,,-5.218999999999999,,,,,,-4.343999999999999,,1.406,,-2.531,,,,,,-6.031000000000001,-7.156000000000001,-7.468999999999999,
1012,1012,,,,,,,-1.625,-5.0,,,,,-5.156000000000001,,-7.5,-9.375,-4.406000000000001,-0.312,0.344,,,,,,,,,,1.094,,,,,,,,,,,,,,,,,,,,,,,,4.125,,,,,,,,,,,,,1.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,1013,,,,,,,-8.937999999999999,-7.812,,,,,-5.718999999999999,,-8.844,-9.719,4.062,-5.031000000000001,-6.906000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.687999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.469,,,,,,
1015,1015,,,,,,,9.031,8.969,,,,,8.969,,9.187999999999999,9.187999999999999,9.125,9.062000000000001,9.062000000000001,,9.156,,,,,,,,,,,,,,,,,,,,9.281,,,,,,,,,,,,,,,,,,,,,9.281,,,,,,9.469,9.031,,,,,8.812000000000001,,,8.812000000000001,,,,,,,,,,,,9.469,,,9.281,,,,,,,,
1016,1016,,,,,,,0.7190000000000001,3.0,,,,,6.531000000000001,,2.562,1.4380000000000002,7.812,4.312,2.719,,4.812,,,,,-0.531,,,,,,4.0,,,,,,,,4.656000000000001,3.062,,,,,,,,,,,,,,,,,,,,,6.562,,,-6.531000000000001,1.3119999999999998,,4.5,7.843999999999999,,,,,4.875,,1.844,4.406000000000001,,,,,,,,,,,4.812,7.562,,,2.938,,,,,,,,
1019,1019,,,,,,,-9.437999999999999,-8.812000000000001,,,,,8.062000000000001,,0.031,-4.25,5.156000000000001,7.062,9.906,,,,,,,,,,,,,,,,,,,,,,8.594,,,,,,,,,,,,,,,,,,,,,,,,7.218999999999999,,,,,,,8.594,,8.156,,7.281000000000001,7.718999999999999,,,,,,-2.188,,,,,,,,,5.281000000000001,,,,,,,,
1021,1021,,,,,,,-9.125,-9.844,,,,,-9.844,,-9.625,-9.469,9.406,-9.562000000000001,9.531,,0.281,0.281,-9.281,0.188,0.281,0.281,,-9.344,0.281,0.188,,-9.719,0.281,0.281,9.625,0.281,-9.75,-9.187999999999999,0.281,0.188,-9.531,0.281,,-9.469,0.281,0.281,-9.75,0.188,0.281,0.188,,,0.188,0.281,-9.5,0.281,-9.562000000000001,0.188,0.188,0.188,,0.188,0.188,0.188,0.625,0.281,0.188,0.281,0.281,9.031,0.188,0.188,,0.281,0.281,-3.531,9.594,0.281,-4.406000000000001,,0.281,-9.594,0.281,0.188,0.188,0.281,9.969,-1.8119999999999998,0.188,0.281,0.562,0.188,0.188,-9.437999999999999,0.281,-3.938,-9.625,0.281,0.188,
1023,1023,,,,,,,-4.375,3.688,,,,,-4.812,,-6.625,6.562,9.437999999999999,1.406,4.812,,,2.719,3.656,-8.969,-4.5,5.343999999999999,,,,-6.625,,2.594,,-1.469,-2.562,,,,1.875,1.844,0.25,1.8119999999999998,,-1.969,,1.844,-1.0,,,,,,1.875,-9.25,,-2.281,2.0,1.594,1.719,-7.468999999999999,,-4.688,,-7.688,4.375,2.281,-0.375,-3.188,4.343999999999999,3.969,-9.875,5.625,,4.75,5.031000000000001,4.312,4.062,3.094,-5.312,,,4.5,6.312,1.531,-1.844,-0.188,-5.5,3.0,,-8.594,2.344,5.75,-3.188,2.188,2.781,1.75,4.5,,2.969,
1026,1026,,,,,,,0.43799999999999994,6.906000000000001,,,,,5.5,,1.719,5.343999999999999,-0.9059999999999999,-3.406,-3.438,,7.593999999999999,,,,4.781000000000001,6.625,,,7.625,,,6.156000000000001,,,6.093999999999999,5.718999999999999,,7.562,,,,,,,,,-1.719,,,7.218999999999999,,,5.5,,,,,,,,,0.875,6.843999999999999,,,,,,,,,5.968999999999999,,,,,,,,,,5.062,,,,,,,,,7.656000000000001,,,,,4.125,6.375,,,
1027,1027,,,,,,,-9.469,3.312,,,,,2.969,,-6.218999999999999,-9.594,0.875,-4.188,5.531000000000001,,3.844,-1.8119999999999998,1.625,-1.5619999999999998,-4.812,-1.875,,-2.219,3.531,-6.438,,6.218999999999999,-4.688,-1.75,6.718999999999999,4.781000000000001,-4.312,-4.312,-2.188,0.8440000000000001,-4.031000000000001,-0.812,,-4.593999999999999,-0.125,0.469,-1.531,0.6559999999999999,3.219,-2.75,,,0.938,4.188,-1.625,-3.875,-6.0,-4.125,-2.531,-4.375,,3.812,-1.156,-1.719,-0.281,1.844,-2.594,1.219,-6.125,1.188,6.156000000000001,2.406,,-3.594,-4.218999999999999,0.188,4.0,3.062,-3.094,,7.0,-3.562,-4.781000000000001,-3.312,-2.0,-2.25,2.875,5.843999999999999,7.656000000000001,-2.719,-2.938,3.062,-7.093999999999999,1.6880000000000002,1.656,-1.406,1.156,-6.218999999999999,6.688,
1029,1029,,,,,,,4.25,4.718999999999999,,,,,-0.406,,-2.375,-2.312,6.125,0.25,5.312,,8.75,8.875,,,,,,,9.25,,,6.688,,,8.031,8.406,,,,,,,,,,,8.937999999999999,,8.281,,,,7.593999999999999,,,,,,,,,8.562000000000001,,,8.625,8.75,,8.75,8.562000000000001,,,,,,,,,,,,8.844,,,,,,,,9.219,,,,,,,,,,,
1030,1030,,,,,,,3.906,9.812000000000001,,,,,-9.594,,6.593999999999999,-5.125,8.031,6.125,9.531,,,-6.875,,,,,,,,-9.187999999999999,,,,,,,,,,,7.343999999999999,,,,,6.781000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,1034,,,,,,,-9.437999999999999,-9.281,,,,,-9.437999999999999,,-9.656,-9.219,-9.375,-9.25,-9.094,,-8.906,-8.906,-8.906,-8.906,-8.906,-8.906,,-8.906,-8.906,-8.906,,-8.875,-8.906,-8.906,-8.906,-8.875,-8.906,-8.906,-8.906,-8.906,-8.906,-8.906,,-8.906,-8.906,-8.906,-8.906,-8.906,-8.906,-8.875,,,-8.937999999999999,-8.906,-8.906,-8.906,-8.906,-8.906,-8.906,-8.906,,-8.906,-8.906,-8.906,-8.906,-9.312000000000001,-8.906,-8.906,-8.875,-8.906,-8.906,-8.906,,-8.906,-8.906,-8.875,-8.906,-8.906,-8.906,,-8.906,-8.906,-8.906,-8.906,-8.906,-8.906,-8.906,-8.875,-9.344,-8.906,-8.906,-8.906,-9.562000000000001,-8.906,-8.875,-8.906,-8.906,-8.906,-8.906,
1035,1035,,,,,,,4.5,4.843999999999999,,,,,4.281000000000001,,-3.125,-9.781,-1.219,-7.188,-4.531000000000001,,,-0.469,-6.875,-6.593999999999999,-3.625,,,8.844,,-3.375,,5.938,-6.0,4.562,7.468999999999999,8.25,-4.938,8.875,,,-8.656,-0.062,,-8.0,-5.281000000000001,,4.125,6.625,5.75,2.469,,,,8.375,-8.312000000000001,5.843999999999999,-8.719,-7.438,6.218999999999999,-5.968999999999999,,9.969,9.781,5.188,,,-3.562,9.437999999999999,4.688,-8.062000000000001,3.125,7.906000000000001,,-3.25,-3.312,,,-4.593999999999999,-2.781,,-0.125,8.5,-3.219,5.0,-8.812000000000001,3.781,-7.718999999999999,,,2.688,1.75,-0.594,2.688,3.0,7.781000000000001,7.968999999999999,6.0,-4.5,6.281000000000001,
1038,1038,,,,,,,9.406,-1.6880000000000002,,,,,-9.156,,9.156,8.312000000000001,7.343999999999999,7.375,7.062,,,,,9.656,9.812000000000001,,,,,,,9.656,,,,,,,,,,,,,,,,9.844,,,,,,9.812000000000001,,9.937999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,1039,,,,,,,-9.906,-9.687999999999999,,,,,-9.906,,0.531,-7.718999999999999,-9.531,-9.531,-9.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.937999999999999,,,,,,,,,,,,,,-5.062,,,,,,,,,,,,,,,,,,,,,,,,-10.0,,-8.687999999999999,,,,,,
1041,1041,,,,,,,-3.688,7.312,,,,,7.062,,-5.968999999999999,8.25,7.468999999999999,7.093999999999999,6.218999999999999,,6.593999999999999,7.218999999999999,7.75,-5.468999999999999,7.468999999999999,1.781,,2.375,6.688,5.875,,5.656000000000001,5.688,-3.156,3.438,3.781,-5.156000000000001,3.438,3.719,8.094,5.438,-2.531,,3.969,4.938,5.75,-0.812,-2.406,6.562,7.25,,,-3.844,6.625,-1.156,0.812,4.375,4.968999999999999,-6.281000000000001,-6.125,,7.031000000000001,4.312,9.406,5.875,5.938,3.688,8.219,4.438,3.719,7.468999999999999,-1.5619999999999998,,-0.406,1.656,3.812,2.812,6.531000000000001,5.218999999999999,,5.75,3.969,6.593999999999999,6.156000000000001,5.0,5.968999999999999,3.438,6.031000000000001,7.468999999999999,4.343999999999999,7.812,-4.438,1.9380000000000002,5.843999999999999,3.031,6.312,7.468999999999999,5.343999999999999,4.593999999999999,
1042,1042,,,,,,,-9.875,-0.9690000000000001,,,,,0.0,,1.031,-9.312000000000001,3.938,3.469,2.812,,,,,,,,,,,,,,,,4.656000000000001,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.281,,,,,,
1043,1043,,,,,,,-4.781000000000001,-4.781000000000001,,,,,1.25,,-2.469,-2.469,-2.469,-2.469,2.0,,-2.812,,,,,,,,2.812,,,,,,-2.75,,,,,,,,,,,,,,,1.594,,,-1.781,,,,,,,,,3.406,,,-3.969,-4.656000000000001,,,2.062,,,-4.688,,,-4.218999999999999,3.656,,,,,-6.812,,-2.094,,,,-4.218999999999999,,,,,-1.125,,,,,,,,
1044,1044,,,,,,,-6.156000000000001,7.906000000000001,,,,,0.5,,-5.593999999999999,-1.4380000000000002,2.938,-2.062,0.312,,5.312,6.0,1.4380000000000002,-7.438,4.031000000000001,-1.031,,-5.781000000000001,-7.593999999999999,-3.906,,0.875,-6.781000000000001,4.5,5.406000000000001,-6.843999999999999,-7.625,3.938,1.9380000000000002,-5.343999999999999,-0.031,-2.031,,-1.656,-6.562,-2.594,-7.688,-7.188,-3.875,2.469,,,4.593999999999999,4.468999999999999,4.593999999999999,-7.156000000000001,-0.9059999999999999,-7.093999999999999,-1.594,-6.156000000000001,,-2.0,0.094,-7.0,4.093999999999999,4.125,6.562,-3.719,4.843999999999999,2.719,0.688,6.688,,-1.4380000000000002,3.062,4.75,3.125,-1.219,2.812,,2.125,0.125,6.0,-3.75,-5.781000000000001,1.9380000000000002,1.281,-7.156000000000001,-7.718999999999999,-3.719,-0.688,-3.0,-4.938,4.843999999999999,2.062,0.594,-4.218999999999999,4.718999999999999,-1.375,
1045,1045,,,,,,,-9.437999999999999,-9.656,,,,,-9.656,,-9.531,9.125,9.875,-6.468999999999999,0.7809999999999999,,-8.406,-3.938,-5.688,-7.438,-5.968999999999999,5.375,,,,,,,,,,-2.156,,,,,,,,,,,7.906000000000001,,,1.375,,,9.594,,,,-2.75,,,,,-0.7190000000000001,-8.469,,,,,-9.75,,,,0.312,,,,,,-3.875,,,-3.781,,,,,,,,-8.906,-8.469,,,7.312,,,5.812,,,,
